PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,FriendStrength1,FriendStrength2,FriendStrength3,FriendStrength4,FriendStrength5,FriendStrength6,Politics1Name,Politics2Name,Politics3Name,Politics4Name,Politics5Name,Politics6Name,PoliticsStrength1,PoliticsStrength2,PoliticsStrength3,PoliticsStrength4,PoliticsStrength5,PoliticsStrength6
364,600,601,359,367,366,596,5,5,3,4,4,4,,,,,,,,,,,,
251,261,263,257,247,286,235,5,5,5,5,5,5,261,263,257,,,,4,4,4,,,
615,653,611,,,,,4,4,,,,,,,,,,,,,,,,
559,591,576,,,,,5,5,,,,,,,,,,,,,,,,
657,652,602,649,,611,,4,4,4,4,4,,,235,,,,,3,2,,,,
302,333,309,307,,,,5,5,2,,,,3226,,,,,,3,,,,,
572,547,556,583,,,,4,5,5,,,,,,,,,,,,,,,
493,488,,,,,,5,,,,,,488,,,,,,4,,,,,
149,,181,183,177,170,,5,4,3,4,3,,181,170,193,,,,3,4,1,,,
418,412,425,410,422,411,434,5,2,2,4,4,4,422,,,,,,1,1,,,,
426,423,407,420,,,,4,4,4,,,,407,,,,,,1,,,,,
296,297,277,267,291,235,295,5,4,5,3,4,3,291,297,,,,,1,1,,,,
333,302,,,,,,3,,,,,,326,,,,,,2,,,,,
528,,,526,524,530,523,5,5,5,5,5,5,,,,,,,,,,,,
519,311,313,318,322,314,516,5,4,3,3,5,5,311,314,516,511,304,313,3,3,2,4,3,3
427,424,410,,,,,5,5,,,,,,,,,,,,,,,,
141,140,128,138,,,,5,5,5,4,4,,,,,,,,2,,,,,
739,732,691,736,705,701,731,5,5,4,5,5,4,701,,,,,,1,,,,,
666,677,679,674,,,,5,3,3,,,,677,679,,,,,3,2,,,,
729,736,725,,,705,688,5,5,5,4,4,5,736,688,,,,,4,4,,,,
691,739,736,732,719,730,699,5,3,4,4,4,5,719,730,732,739,699,731,3,3,3,4,3,4
400,407,401,420,,423,408,5,2,4,5,5,3,407,434,,,,,3,2,,,,
401,416,420,400,,407,408,3,5,5,5,4,1,407,416,,,,400,3,2,2,4,2,3
649,657,,605,270,,,5,4,4,4,,,657,,,,,,2,,,,,
651,,,,,,,,,,,,,,,,,,,,,,,,
332,300,321,301,334,316,298,4,3,5,4,2,2,301,300,324,511,746,308,4,3,2,1,1,2
719,508,194,,699,264,732,5,3,5,5,5,5,,,,,,,,,,,,
661,639,606,,,,,4,3,,,,,608,658,,,,,2,2,,,,
503,504,505,141,471,,,5,4,3,2,,,504,,,,,,1,2,,,,
223,230,222,546,543,267,219,,,,,,,546,,,,,,3,,,,,
413,406,416,755,408,,,5,4,5,3,,,755,,,,,,3,,,,,
231,229,374,383,372,230,222,,,,,,,,,,,,,,,,,,
